太原,新房,二手房
42370,101.1,101.3
42401,101.2,101.1
42430,101.6,101.5
42461,101.5,101.4
42491,101.4,101.2
42522,102,101.9
42552,102,102.7
42583,102.2,103.3
42614,102.8,103.4
42644,103.2,104.3
42675,103.4,104.8
42705,103.7,105.1
42736,104.2,106.1
42767,104.6,106.6
42795,105.2,107
42826,106.6,108
42856,107.5,108.7
42887,108.8,109.5
42917,109.3,110
42948,109.5,110.4
42979,110.1,110.7
43009,110.8,111.3
43040,111.2,112.1
43070,111.9,113.3
43101,112.3,114.9
43132,112.5,114.2
43160,113.2,115.9
43191,114.8,117.4
,,
成都,新房,二手房
42370,101.3,100.8
42401,101.3,101.5
42430,101.6,101.8
42461,102.1,102
42491,102.5,102.4
42522,103.1,102.7
42552,104.1,103
42583,105.1,103.4
42614,107.8,105.1
42644,106.9,105.7
42675,107,105.7
42705,106.8,105.9
42736,106.9,106.5
42767,106.4,107.2
42795,105.7,108.1
42826,105.7,108.7
42856,105.5,108.8
42887,105.3,108.9
42917,105.2,109.3
42948,104.8,109.5
42979,104.8,109.9
43009,105.5,110.6
43040,105.6,110.5
43070,106.2,110.8
43101,105.5,110.2
43132,106.4,110.6
43160,106.6,110.3
43191,106.8,109.9
,,
哈尔滨,新房,二手房
42370,100.4,101.3
42401,100.4,101.2
42430,100.9,101.7
42461,100.8,101.8
42491,101.1,101.8
42522,101.6,101.7
42552,101.4,101.6
42583,101.6,101.5
42614,101.6,101.7
42644,102,101.7
42675,101.8,101.4
42705,102.7,101.4
42736,102.5,101.9
42767,103.4,101.9
42795,104.1,102.1
42826,104.7,102.4
42856,106.7,103.3
42887,108.4,104.7
42917,109.1,105.2
42948,109.4,106.3
42979,110.3,106.9
43009,112.1,107.9
43040,112.5,108.2
43070,113.6,108.9
43101,114.3,108.6
43132,114.5,109.6
43160,115.6,110.8
43191,117.2,111.7
,,
,,
昆明,新房,二手房
42370,99.3,100.7
42401,99.2,100.8
42430,99.1,101.1
42461,99.9,101.6
42491,100.4,102.2
42522,100.4,101.9
42552,100.6,101.9
42583,100.8,101.7
42614,101.1,101.8
42644,102.2,102.2
42675,102.8,102.2
42705,103.1,102
42736,103.5,102.3
42767,103.8,102.1
42795,104.6,103
42826,106.3,103.8
42856,107,104.5
42887,107.7,105
42917,108.4,105.3
42948,108.9,105.8
42979,109.1,106.3
43009,109.5,106.6
43040,110.8,107.5
43070,113.7,108.9
43101,114.5,108.9
43132,115.6,110.1
43160,116.6,110.6
43191,117.4,110.9
,,
,,
西安,新房,二手房
42370,100.7,97.7
42401,100.6,97.5
42430,100.7,97.2
42461,101.2,97
42491,101.8,96.7
42522,102.3,96.8
42552,102.7,96.7
42583,103.4,97
42614,103.7,96.7
42644,105.5,96.8
42675,107.4,96.5
42705,108.1,96.6
42736,109,96.5
42767,110.2,96.9
42795,111.2,98
42826,113,99.3
42856,115,100.7
42887,116.9,102.3
42917,118.2,103.1
42948,118.5,104
42979,119.2,103.9
43009,120,104.1
43040,120.6,104.6
43070,121.3,105.1
43101,121.1,105.1
43132,122.6,104.9
43160,123.7,106.3
43191,125.7,108.6
,,
,,
大连,新房,二手房
42370,99.3,99.7
42401,99,99.5
42430,99.2,99.6
42461,100,100.1
42491,100.5,100.2
42522,100.8,100.7
42552,100.2,100.4
42583,100.5,100.5
42614,100.6,100.6
42644,101.3,100.7
42675,101.8,100.9
42705,101.9,100.9
42736,101.9,101.2
42767,102.4,101.4
42795,103,101.8
42826,104.1,102.5
42856,105.1,103.4
42887,105.7,104
42917,106.6,104.3
42948,107.1,104.8
42979,107.7,105
43009,108.4,105.6
43040,109.6,106.1
43070,110.4,106.6
43101,112.4,107.2
43132,113.3,108
43160,114.1,108.4
43191,115.4,109
,,
长春,新房,二手房
42370,99.2,100.1
42401,99.5,99.5
42430,100.1,99.6
42461,100.3,99.8
42491,100.7,99.9
42522,100.9,99.9
42552,101,99.8
42583,101.2,100.1
42614,101.8,100.3
42644,102.6,100.7
42675,103,100.9
42705,103.4,100.7
42736,103.6,100.9
42767,103.9,101.2
42795,104.7,101.9
42826,105.7,102.5
42856,106.9,103
42887,107.9,103.7
42917,108.7,104
42948,109.1,104.2
42979,110,104.8
43009,110.6,105.1
43040,111.3,105.8
43070,112.6,106.4
43101,113.4,106.5
43132,113.3,107.1
43160,114.5,107.7
43191,115.5,108.4
,,
,,
贵阳,新房,二手房
42370,100,100.6
42401,100.3,100.8
42430,100.7,101.1
42461,101.4,101.2
42491,101.8,101.2
42522,101.8,101.3
42552,102.3,101.4
42583,102.7,101.7
42614,103.5,101.9
42644,104.1,102.3
42675,104.4,102.4
42705,104.8,102.4
42736,105.3,102.8
42767,105.8,103.2
42795,107.1,103.6
42826,108.8,104.5
42856,109.7,105.1
42887,110.4,105.5
42917,111.4,105.6
42948,112.2,105.9
42979,112.9,106.4
43009,113.4,106.6
43040,114.4,107.2
43070,115.7,107.9
43101,117.1,107.9
43132,117.3,108.7
43160,118.2,109.1
43191,119.7,109.8
,,
,,
,,
三亚,新房,二手房
42370,100.1,100.7
42401,100.2,100.7
42430,100,101.2
42461,100,101.1
42491,100.4,100.8
42522,100.2,100.8
42552,99.9,100.7
42583,100.6,100.8
42614,101.8,101.3
42644,102.7,101.8
42675,103.5,102.2
42705,104.7,102.9
42736,106.5,103.7
42767,107.8,104.5
42795,110.3,105.9
42826,109,105.7
42856,108.8,105.2
42887,107.9,104.5
42917,108.2,104.3
42948,108.3,104.6
42979,108.2,104.6
43009,108.4,104.8
43040,109.3,105.5
43070,109.9,105.8
43101,110,105.5
43132,112,105.9
43160,112.8,106.9
43191,114.9,108.2
,,
,,
海口,新房,二手房
42370,100.3,99.1
42401,100.5,99.2
42430,100.8,100
42461,101.2,100.2
42491,101.9,100.4
42522,102.1,100.5
42552,102.9,100.7
42583,103.5,101
42614,104.3,101.2
42644,105.2,101.6
42675,105.8,102.1
42705,106.4,102.5
42736,106.8,103
42767,107.7,103.7
42795,110.5,104.7
42826,110.1,104.7
42856,109.5,104.8
42887,110.8,105.2
42917,111.6,105
42948,110.4,104.6
42979,110.5,104
43009,110.5,103.5
43040,110.3,103
43070,112.7,103.2
43101,108.7,103.6
43132,113.4,104.4
43160,115.8,106.1
43191,118,107.1
,,
,,
,,
,,
徐州,新房,二手房
42370,100.1,100.1
42401,100.4,100.1
42430,101.1,100.4
42461,102,100.9
42491,102.8,101
42522,103,101.2
42552,103.7,101.3
42583,104.3,102
42614,105.6,102.8
42644,107.4,103.8
42675,109.1,104.8
42705,109.7,105
42736,110.2,105.3
42767,111,105.7
42795,111.6,106
42826,113.1,106.8
42856,114.9,107.9
42887,117,109.3
42917,117.6,109.6
42948,118,109.7
42979,118.4,109.8
43009,119,110.1
43040,119.8,110.5
43070,119.9,110.7
43101,119.3,110.9
43132,121.9,111.6
43160,122.8,111.9
43191,123.8,112.9
